District,Province,Capital,Area,Population
Kailahun,Eastern,Kailahun,3859.00,526379.00
Kenema,Eastern,Kenema,6053.00,609891.00
Kono,Eastern,Koidu Town,5641.00,506100.00
Bombali,Northern,Makeni,7895.00,606544.00
Falaba,Northern,Bendugu,,205353.00
Koinadugu,Northern,Kabala,12121.00,409372.00
Tonkolili,Northern,Magburaka,7003.00,531435.00
Kambia,North West,Kambia,3108.00,345474.00
Karene,North West,Kamakwie,,285546.00
Port Loko,North West,Port Loko,5719.00,615376.00
Bo,Southern,Bo,5219.00,575478.00
Bonthe,Southern,Bonthe,3468.00,200781.00
Moyamba,Southern,Moyamba,6902.00,318588.00
Pujehun,Southern,Pujehun,4105.00,346461.00
Western Rural,Western,Waterloo,544.00,444270.00
Western Urban,Western,Freetown,13.00,1055964.00
